iter	Logloss
0	0.6799741646
1	0.6671661878
2	0.655003826
3	0.6433923471
4	0.6328806029
5	0.6225178889
6	0.6131527568
7	0.6039621179
8	0.5945618252
9	0.5862655757
10	0.5782281264
11	0.5708132289
12	0.5631653955
13	0.556243229
14	0.5496735674
15	0.5433408492
16	0.5374973891
17	0.5316297248
18	0.5262814431
19	0.5211075278
20	0.515952665
21	0.5113383327
22	0.5067384613
23	0.5026800626
24	0.4988356423
25	0.49489684
26	0.4911488625
27	0.487593025
28	0.4840555184
29	0.4808270886
30	0.4777638526
31	0.4750614031
32	0.4722025821
33	0.4699230817
34	0.4673580871
35	0.4647894877
36	0.4625915804
37	0.4603181364
38	0.4583860683
39	0.4564625485
40	0.4543852415
41	0.452456189
42	0.4505131518
43	0.4486682732
44	0.4468938562
45	0.4453183133
46	0.4438683901
47	0.4425079666
48	0.4409696211
49	0.4394794218
50	0.438391342
51	0.4370875726
52	0.4358862488
53	0.4347297486
54	0.4338164529
55	0.4328243006
56	0.4317300058
57	0.430802546
58	0.4299030341
59	0.4291266918
60	0.428039239
61	0.4272326418
62	0.4263792713
63	0.4256934147
64	0.4248281471
65	0.4240812701
66	0.4233128968
67	0.4227872006
68	0.4220637683
69	0.421379246
70	0.4207647224
71	0.4200414813
72	0.4194063211
73	0.4186443654
74	0.4181027829
75	0.4175314288
76	0.4169107783
77	0.4164042546
78	0.4159793745
79	0.4153392153
80	0.4148172286
81	0.4142970206
82	0.4138849879
83	0.4135192518
84	0.4129941251
85	0.4125298353
86	0.4119811538
87	0.4114817274
88	0.41115013
89	0.4107792214
90	0.4104231649
91	0.4100808585
92	0.4096534239
93	0.4092690588
94	0.4089480594
95	0.4085143579
96	0.4080685553
97	0.4078230032
98	0.4074675755
99	0.4071451083
100	0.4068156386
101	0.4065332655
102	0.4062699425
103	0.405994533
104	0.4057434264
105	0.4053912812
106	0.4050628814
107	0.4047953377
108	0.404355018
109	0.4040192634
110	0.4037615485
111	0.4035744076
112	0.4032555781
113	0.4029792853
114	0.4028475416
115	0.4026552212
116	0.4023998069
117	0.402025716
118	0.4017166334
119	0.4015328986
120	0.4012963421
121	0.4010685422
122	0.4009034432
123	0.400671099
124	0.4004169794
125	0.400152439
126	0.3999393806
127	0.3997085711
128	0.3993494971
129	0.3991854429
130	0.398936739
131	0.3986700526
132	0.398393236
133	0.3980801627
134	0.3979153846
135	0.3976311629
136	0.3974321392
137	0.3971877956
138	0.3970066179
139	0.3967298178
140	0.3965187387
141	0.3963361486
142	0.396148667
143	0.3959120304
144	0.3955220924
145	0.3952920725
146	0.395145151
147	0.3949607231
148	0.3947770932
149	0.3945954089
150	0.3943920841
151	0.3942425409
152	0.3940157834
153	0.3938231228
154	0.3936069841
155	0.3934677649
156	0.3933320815
157	0.3930923543
158	0.3928845694
159	0.3926141744
160	0.3924898517
161	0.3921605608
162	0.3919974049
163	0.3918655421
164	0.3916176241
165	0.3913175421
166	0.3911535739
167	0.3909592441
168	0.3906728783
169	0.3904635426
170	0.3903405737
171	0.3901842595
172	0.3899984089
173	0.3898010737
174	0.3896174146
175	0.3893788166
176	0.3891747987
177	0.388878699
178	0.3886739542
179	0.388610767
180	0.388442739
181	0.3882728531
182	0.3879876469
183	0.3878849009
184	0.3877378204
185	0.3875779222
186	0.3874071366
187	0.3871180889
188	0.3868559906
189	0.3867054637
190	0.3864994904
191	0.3863455917
192	0.3861735428
193	0.3860042896
194	0.3858557671
195	0.3856943452
196	0.3854809639
197	0.3853795792
198	0.3851625095
199	0.3849850671
200	0.3848141449
201	0.3845973792
202	0.3843981716
203	0.3843135606
204	0.3841533024
205	0.3839945287
206	0.3838966097
207	0.3837367048
208	0.3836003424
209	0.3834665109
210	0.3833869953
211	0.3832825334
212	0.3830597794
213	0.3828892496
214	0.3828309459
215	0.3827344687
216	0.3825100284
217	0.382385338
218	0.382320875
219	0.3820959467
220	0.3819810408
221	0.3816666677
222	0.3814782709
223	0.3813794972
224	0.3810912191
225	0.3809185111
226	0.3807469621
227	0.3805577115
228	0.3804062053
229	0.3803197275
230	0.3801935529
231	0.3800809412
232	0.3799949987
233	0.3797643892
234	0.3796551495
235	0.3794788378
236	0.3793213191
237	0.3792524908
238	0.3790990025
239	0.3788432288
240	0.3787419307
241	0.3785585902
242	0.3784663835
243	0.3783003086
244	0.3780425575
245	0.3778543614
246	0.3776717159
247	0.3774634506
248	0.3773523593
249	0.3771859623
250	0.377049362
251	0.3768939697
252	0.3767380435
253	0.3765776247
254	0.3764684556
255	0.3763514051
256	0.3763022319
257	0.3761448141
258	0.3760795843
259	0.3758219219
260	0.3756464609
261	0.3754853896
262	0.3754223247
263	0.3752828242
264	0.3750270323
265	0.3748686755
266	0.3746489256
267	0.3745747707
268	0.3744218069
269	0.3741802749
270	0.3740908415
271	0.3739073014
272	0.3737222355
273	0.3735970124
274	0.3734544531
275	0.373278723
276	0.3731021772
277	0.3730192112
278	0.3729429259
279	0.3727705165
280	0.3726532596
281	0.3725116808
282	0.3723358778
283	0.3721605081
284	0.3721422237
285	0.3720549732
286	0.3718459712
287	0.3716566518
288	0.3715919362
289	0.3714444112
290	0.3712023265
291	0.3710574339
292	0.3708552139
293	0.3706798469
294	0.3705897167
295	0.370540856
296	0.3703217566
297	0.3700847713
298	0.3700357896
299	0.3699247947
300	0.3698566674
301	0.3697314387
302	0.3696162446
303	0.369532644
304	0.3693889409
305	0.3693210428
306	0.3692121504
307	0.3691289389
308	0.3690658987
309	0.368990187
310	0.3688758523
311	0.3687284932
312	0.3686333273
313	0.3685302419
314	0.3684074143
315	0.3682955037
316	0.3681958283
317	0.3681411575
318	0.3679694773
319	0.3677753333
320	0.3675500456
321	0.3673750531
322	0.3672445186
323	0.3670930989
324	0.3669410122
325	0.3667636609
326	0.3666299704
327	0.3665765654
328	0.3664500977
329	0.3663718405
330	0.3662825987
331	0.3661953804
332	0.3660029769
333	0.365784343
334	0.3656783455
335	0.3654798102
336	0.3652677945
337	0.3651660094
338	0.3651124728
339	0.3650386423
340	0.3648266309
341	0.3647541097
342	0.3645550581
343	0.3643928387
344	0.3642596593
345	0.3641465627
346	0.3639581155
347	0.3637595439
348	0.3634876254
349	0.3632376938
350	0.3631783398
351	0.3630594223
352	0.362860463
353	0.3627121514
354	0.362488146
355	0.3622761508
356	0.3621636093
357	0.3620778653
358	0.361852721
359	0.3616665689
360	0.3615521166
361	0.3614647239
362	0.3613901809
363	0.3613147254
364	0.3612227174
365	0.3610876258
366	0.3608147591
367	0.3606455292
368	0.3605151561
369	0.3604563929
370	0.360322034
371	0.3602302688
372	0.3600780501
373	0.3599554698
374	0.3598217406
375	0.359717234
376	0.3596770304
377	0.3595002759
378	0.3593304189
379	0.3592662708
380	0.3590996251
381	0.3590147747
382	0.3588836723
383	0.3587472276
384	0.3586486354
385	0.3585464274
386	0.3583622034
387	0.358283152
388	0.3581598498
389	0.3580998308
390	0.357969917
391	0.3578100663
392	0.3577045017
393	0.357546972
394	0.3575139956
395	0.3574528494
396	0.3573469628
397	0.3571804375
398	0.3570254358
399	0.3567136251
400	0.3565766993
401	0.3563911308
402	0.3561942517
403	0.3561742637
404	0.3560017763
405	0.3557663009
406	0.3557182143
407	0.3555535836
408	0.3554467835
409	0.3553145196
410	0.3551809998
411	0.3550361434
412	0.3548246058
413	0.3547487447
414	0.3546257248
415	0.3544534497
416	0.3542860635
417	0.3541878458
418	0.3540137077
419	0.3539091529
420	0.3537907826
421	0.3537387085
422	0.353601869
423	0.3534078331
424	0.3532379764
425	0.3530513713
426	0.3528956914
427	0.3527048706
428	0.3525794005
429	0.3524331558
430	0.3522212982
431	0.3520118124
432	0.3519106135
433	0.3517504077
434	0.3516282837
435	0.351496345
436	0.3514382808
437	0.3512680288
438	0.3511268954
439	0.3510257458
440	0.3507866503
441	0.3506338
442	0.3505224543
443	0.350401692
444	0.3501850776
445	0.3500639503
446	0.3498348128
447	0.3497676637
448	0.349712168
449	0.349518052
450	0.3494383539
451	0.3493642787
452	0.349229313
453	0.3491346057
454	0.3489541124
455	0.3488572039
456	0.3487533842
457	0.3486755464
458	0.3484019137
459	0.3482892568
460	0.3481985074
461	0.3480095927
462	0.3478368813
463	0.3476652642
464	0.3475062285
465	0.3473113441
466	0.3471815701
467	0.3470435585
468	0.3469374686
469	0.3467802474
470	0.3466382507
471	0.3464867864
472	0.3462530389
473	0.3460937814
474	0.3459994183
475	0.3459313654
476	0.3457514155
477	0.3456508632
478	0.3455460578
479	0.345376044
480	0.3453005448
481	0.3451565768
482	0.3450113524
483	0.3449598233
484	0.3447256809
485	0.3445467526
486	0.3444388603
487	0.3443494754
488	0.3442407845
489	0.3441243107
490	0.3440101073
491	0.343871472
492	0.343707881
493	0.3436037156
494	0.3434469922
495	0.3432894739
496	0.3432227248
497	0.3430513932
498	0.3429675454
499	0.3427502061
500	0.3426184788
501	0.3424585766
502	0.3422906257
503	0.3420865908
504	0.3419415904
505	0.3417732459
506	0.3415167904
507	0.3413824907
508	0.3412708643
509	0.3410718043
510	0.340920516
511	0.3407617723
512	0.3405473529
513	0.340374325
514	0.340182664
515	0.3401236507
516	0.3399036643
517	0.3398529156
518	0.3396779224
519	0.3396409278
520	0.3394606812
521	0.3393065789
522	0.3391958981
523	0.3390367256
524	0.338960583
525	0.3387541329
526	0.3386041846
527	0.3384635654
528	0.338251517
529	0.3381506632
530	0.3379268234
531	0.3377195215
532	0.3375935709
533	0.337349983
534	0.3371695188
535	0.3371099163
536	0.3369516116
537	0.3367636161
538	0.3366265488
539	0.3364226691
540	0.3361946641
541	0.3360401534
542	0.3358182198
543	0.3357397191
544	0.3356104491
545	0.3354362798
546	0.3352924627
547	0.3351018487
548	0.3350149282
549	0.3348562474
550	0.334631802
551	0.334468886
552	0.3341982466
553	0.3338994795
554	0.3337592819
555	0.3336736023
556	0.3334949579
557	0.3333288681
558	0.3330930835
559	0.332890591
560	0.3326948618
561	0.3326358179
562	0.3324704319
563	0.3321680094
564	0.3320145022
565	0.3318230476
566	0.3316432352
567	0.3313930296
568	0.3312494605
569	0.3311410861
570	0.3310711578
571	0.3309612791
572	0.330746328
573	0.3305774884
574	0.3304755186
575	0.3304440513
576	0.3303576089
577	0.3301828724
578	0.3299442824
579	0.329787865
580	0.3296724368
581	0.3294924444
582	0.3293601322
583	0.3291941329
584	0.3290922793
585	0.3289289029
586	0.3287400665
587	0.3286425609
588	0.3284611092
589	0.3282232593
590	0.3279868369
591	0.3278662413
592	0.3277946366
593	0.327620702
594	0.3273649264
595	0.3272931445
596	0.3271313027
597	0.3269862233
598	0.3268466373
599	0.3267416573
600	0.3265506049
601	0.326526111
602	0.3263961252
603	0.3261761454
604	0.3259903226
605	0.3258504395
606	0.3257380732
607	0.3256104057
608	0.325495965
609	0.3254436924
610	0.3253115434
611	0.325241643
612	0.3250160825
613	0.324837472
614	0.3246847818
615	0.3245060696
616	0.3243699463
617	0.3242912684
618	0.3242247638
619	0.3241241859
620	0.3240644335
621	0.3238906273
622	0.3237570195
623	0.3236060105
624	0.3233218545
625	0.3231503748
626	0.3230328334
627	0.3228681765
628	0.3226962656
629	0.3225431277
630	0.3224124315
631	0.3222043492
632	0.3221194979
633	0.3218804071
634	0.3217963426
635	0.3216258116
636	0.3214356195
637	0.3212157889
638	0.3211217375
639	0.3209717387
640	0.320798978
641	0.3205669687
642	0.3203216326
643	0.3201738424
644	0.3199871836
645	0.3197709514
646	0.3196965412
647	0.3195267197
648	0.3193458336
649	0.3192537888
650	0.3190765648
651	0.3188994102
652	0.3187866913
653	0.3186499653
654	0.3185442758
655	0.3184417962
656	0.3182591811
657	0.3180961607
658	0.3180143402
659	0.3178042172
660	0.3175994682
661	0.3174832415
662	0.3172858856
663	0.3172099161
664	0.3170407222
665	0.3169302525
666	0.316848347
667	0.3166879714
668	0.3166658322
669	0.3164648053
670	0.3163655675
671	0.3162720697
672	0.3161471899
673	0.3160121213
674	0.315933024
675	0.3158406412
676	0.3156879586
677	0.3155352182
678	0.3153846696
679	0.3152271696
680	0.3150595576
681	0.3149831768
682	0.3148185766
683	0.3146206298
684	0.3143986253
685	0.3142640672
686	0.3141261372
687	0.313981248
688	0.3139034333
689	0.3137172772
690	0.3136368685
691	0.3134863248
692	0.3133700902
693	0.3132616217
694	0.3131424188
695	0.3130006672
696	0.3127989839
697	0.312666453
698	0.3125253167
699	0.3123388088
700	0.31221464
701	0.3120798337
702	0.311875852
703	0.3117264644
704	0.3115648121
705	0.3113509811
706	0.3112006643
707	0.3110776076
708	0.311014722
709	0.3108697757
710	0.3108227173
711	0.310721685
712	0.3105611388
713	0.3104367838
714	0.3102959307
715	0.3100868609
716	0.3100055571
717	0.3098835478
718	0.3097156973
719	0.3096219371
720	0.3094556094
721	0.3093715352
722	0.3092576488
723	0.3090920292
724	0.3089713979
725	0.3088496572
726	0.3087401008
727	0.3085343321
728	0.3084605122
729	0.3083562694
730	0.3082391395
731	0.308113538
732	0.3079864194
733	0.3078874973
734	0.3078749427
735	0.3077486878
736	0.3075929163
737	0.3075592128
738	0.3074530737
739	0.3073200927
740	0.3071754458
741	0.3070914624
742	0.3069136683
743	0.3068042736
744	0.3066453708
745	0.306463626
746	0.3063397665
747	0.3062350076
748	0.3061930853
749	0.306100418
750	0.3059493593
751	0.3058469193
752	0.3057153881
753	0.3055596293
754	0.3054232404
755	0.3053116009
756	0.3052112421
757	0.3051433162
758	0.3051176557
759	0.3049415519
760	0.3047934385
761	0.3046742615
762	0.3045543769
763	0.3044854569
764	0.3044641351
765	0.3043674773
766	0.3043540236
767	0.3041334233
768	0.3040041959
769	0.3038904833
770	0.3037928477
771	0.3036459317
772	0.3035405668
773	0.3033937783
774	0.303229002
775	0.3030561829
776	0.3030147076
777	0.3028259726
778	0.3026916168
779	0.302670443
780	0.3026098008
781	0.3025187714
782	0.3023656834
783	0.302201318
