iter	Passed	Remaining
0	10	10043
1	18	9215
2	27	8978
3	36	9023
4	46	9206
5	54	9029
6	61	8773
7	69	8580
8	76	8422
9	83	8284
10	92	8283
11	100	8260
12	108	8220
13	115	8113
14	122	8022
15	129	7952
16	138	7999
17	146	7999
18	153	7939
19	162	7953
20	169	7921
21	176	7859
22	184	7827
23	190	7766
24	201	7844
25	208	7795
26	215	7757
27	223	7750
28	232	7789
29	240	7767
30	248	7780
31	257	7793
32	265	7777
33	273	7757
34	280	7728
35	288	7712
36	296	7710
37	304	7717
38	312	7695
39	321	7707
40	327	7649
41	335	7648
42	343	7634
43	351	7640
44	359	7627
45	367	7618
46	374	7585
47	381	7566
48	387	7529
49	395	7509
50	402	7491
51	412	7513
52	418	7481
53	427	7480
54	434	7468
55	442	7455
56	449	7440
57	457	7433
58	464	7405
59	471	7380
60	477	7343
61	483	7321
62	491	7314
63	500	7313
64	507	7296
65	513	7272
66	522	7273
67	529	7260
68	537	7258
69	546	7262
70	554	7250
71	562	7249
72	570	7243
73	579	7250
74	586	7235
75	594	7233
76	603	7235
77	611	7226
78	618	7210
79	626	7205
80	632	7172
81	639	7162
82	646	7145
83	653	7128
84	660	7110
85	665	7073
86	673	7069
87	682	7075
88	690	7064
89	697	7051
90	705	7045
91	712	7036
92	720	7026
93	727	7007
94	735	7002
95	741	6978
96	748	6965
97	756	6961
98	770	7010
99	777	7001
100	786	7004
101	795	7001
102	801	6980
103	809	6976
104	816	6959
105	837	7059
106	846	7066
107	854	7055
108	861	7039
109	867	7020
110	875	7010
111	883	7001
112	889	6986
113	897	6976
114	904	6963
115	909	6931
116	917	6924
117	922	6897
118	928	6870
119	934	6851
120	939	6827
121	946	6815
122	953	6800
123	959	6777
124	965	6758
125	971	6738
126	979	6729
127	983	6701
128	991	6692
129	996	6671
130	1002	6652
131	1009	6635
132	1015	6618
133	1021	6600
134	1028	6589
135	1034	6569
136	1040	6552
137	1045	6531
138	1052	6518
139	1058	6502
140	1064	6487
141	1071	6472
142	1076	6451
143	1082	6434
144	1087	6415
145	1092	6392
146	1099	6381
147	1105	6363
148	1111	6350
149	1118	6340
150	1125	6326
151	1131	6312
152	1137	6297
153	1144	6288
154	1150	6274
155	1157	6264
156	1164	6251
157	1171	6242
158	1178	6233
159	1184	6219
160	1190	6203
161	1195	6186
162	1201	6170
163	1208	6162
164	1214	6144
165	1220	6132
166	1227	6121
167	1236	6123
168	1243	6112
169	1250	6103
170	1256	6093
171	1262	6079
172	1268	6065
173	1275	6056
174	1282	6045
175	1290	6040
176	1297	6031
177	1303	6019
178	1309	6004
179	1314	5987
180	1321	5978
181	1328	5970
182	1335	5961
183	1342	5954
184	1349	5943
185	1358	5945
186	1364	5930
187	1372	5929
188	1379	5921
189	1386	5909
190	1392	5899
191	1401	5897
192	1408	5890
193	1415	5879
194	1421	5867
195	1428	5860
196	1438	5861
197	1446	5857
198	1455	5856
199	1462	5849
200	1470	5844
201	1478	5840
202	1486	5834
203	1492	5824
204	1502	5826
205	1510	5820
206	1518	5815
207	1524	5806
208	1532	5801
209	1538	5788
210	1545	5778
211	1551	5766
212	1559	5761
213	1566	5752
214	1574	5747
215	1581	5741
216	1589	5733
217	1594	5719
218	1600	5707
219	1607	5700
220	1614	5691
221	1620	5679
222	1626	5667
223	1632	5654
224	1639	5647
225	1647	5643
226	1655	5637
227	1661	5626
228	1669	5621
229	1676	5614
230	1684	5606
231	1691	5597
232	1697	5588
233	1705	5583
234	1713	5579
235	1721	5571
236	1729	5568
237	1735	5557
238	1744	5553
239	1750	5544
240	1760	5543
241	1769	5540
242	1778	5538
243	1787	5539
244	1795	5533
245	1804	5529
246	1811	5522
247	1818	5515
248	1826	5509
249	1835	5505
250	1843	5501
251	1851	5497
252	1858	5488
253	1867	5483
254	1873	5472
255	1881	5467
256	1887	5456
257	1894	5449
258	1901	5439
259	1906	5427
260	1914	5420
